ANNIE HALL	 (Sound and Woody Allen monologue begin)	ALVY	 There's an old joke.  Uh, two elderly women are at a Catskills mountain resort, and one of 'em says: "Boy, the food at this place is really terrible." The other one says, "Yeah, I know, and such ... small portions." Well, that's essentially how I feel about life.  Full of loneliness and misery and suffering and unhappiness, and it's all over much too quickly.  The-the other important joke for me is one that's, uh, usually attributed to Groucho Marx, but I think it appears originally in Freud's wit and its relation to the unconscious.  And it goes like this-I'm paraphrasing: Uh ... "I would never wanna belong to any club that would have someone like me for a member." That's the key joke of my adult life in terms of my relationships with women.  Tsch, you know, lately the strangest things have been going through my mind, 'cause I turned forty, tsch, and I guess I'm going through a life crisis or something, I don't know. I, uh ... and I'm not worried about aging. I'm not one o' those characters, you know. Although I'm balding slightly on top, that's about the worst you can say about me.  I, uh, I think I'm gonna get better as I get older, you know?  I think I'm gonna be the- the balding virile type, you know, as opposed to say the, uh, distinguished gray, for instance, you know?  'Less I'm neither o' those two. Unless I'm one o' those guys with saliva dribbling out of his mouth who wanders into a cafeteria with a shopping bag screaming about socialism. (Sighing) Annie and I broke up and I-I still can't get my mind around that.  You know, I-I keep sifting the pieces of the relationship through my mind and-and examining my life and tryin' to figure out where did the screw-up come, you know, and a year ago we were... tsch, in love.  You know, and-and-and ... And it's funny, I'm not-I'm not a morose type.  I'm not a depressive character. I-I-I, uh, (Laughing) you know, I was a reasonably happy kid, I guess.  I was brought up in Brooklyn during World War II.					Annie Hall 
ALVY	 (Simultaneously, with Annie) You know ... it's getting expensive ...my analyst ... for her analyst.  She- she's making progress and I'm not making any progress.  Her progress is defeating my progress.	ANNIE	 (Simultaneously, with Alvy) Sometimes I think-sometimes I think I should just live with a woman.					Annie Hall 
ANNIE	 You never wanna try anything new, Alvy.	ALVY	 (Counting on his fingers) How can you say that?  I mean, (Making sounds) who said I-I-I-I said that you, I and that girl from your acting class should sleep together in a threesome.	ANNIE	 (Reacting) That's sick!	ALVY	 Yeah, I know it's sick, but it's new. You know, you didn't say it couldn't be sick.	Annie Hall 
ALVY	 (Counting on his fingers) How can you say that?  I mean, (Making sounds) who said I-I-I-I said that you, I and that girl from your acting class should sleep together in a threesome.	ANNIE	 (Reacting) That's sick!	ALVY	 Yeah, I know it's sick, but it's new. You know, you didn't say it couldn't be sick.	WOMAN FRIEND	 Just come on, Alvy. (All four are now sitting on the sofa. The male friend starts to prepare lines of cocaine; Alvy and Annie look at each other, reacting) Do your body a favor.  Try it, come on.	Annie Hall 
ALVY	 Yeah, I know it's sick, but it's new. You know, you didn't say it couldn't be sick.	WOMAN FRIEND	 Just come on, Alvy. (All four are now sitting on the sofa. The male friend starts to prepare lines of cocaine; Alvy and Annie look at each other, reacting) Do your body a favor.  Try it, come on.	ALVY	 Oh, yeah?	ANNIE	 Yeah.  Come on.  It'd be fun.	Annie Hall 
ANNIE	 Yeah.  Come on.  It'd be fun.	ALVY	 (Moving forward on the couch) Oh, I'm sure it's a lot of fun, 'cause the Incas did it, you know, and-and they-they-they were a million laughs.	ANNIE	 (Laughing) Alvy, come on, for your own experience. I mean, you wanna write, why not?	MALE FRIEND	 It's great stuff, Alvy.  Friend of mine just brought it in from California.	Annie Hall 
ALVY	 (Moving forward on the couch) Oh, I'm sure it's a lot of fun, 'cause the Incas did it, you know, and-and they-they-they were a million laughs.	ANNIE	 (Laughing) Alvy, come on, for your own experience. I mean, you wanna write, why not?	MALE FRIEND	 It's great stuff, Alvy.  Friend of mine just brought it in from California.	ANNIE	 Oh, do you know something-I didn't tell yuh, we're going to California next week.	Annie Hall 
ALVY	 ... I'm thrilled.  As you know, uh ... uh, on my agent's advice I sold out, and I'm gonna do an appearance on TV.	ANNIE	 (Interrupting) No, no, no that's not it at all.  Alvy's giving an award on television.  Gee, he talks like he's violating a moral issue sitting here.	GIRL	 You're kidding?	ALVY	 It's so phony, and we have to leave New York during Christmas week, which really kills me.	Annie Hall 
ALVY	 It's so phony, and we have to leave New York during Christmas week, which really kills me.	MAN	 (Interrupting) Alvy, listen, while you're in California, could you possibly score some coke for me?	ALVY	 (Over Annie's laughter) Sure, sure, I'll be glad to. I-I'll just put it in a-a-a h-h-hollow heel that I have in my boot, you know. (Alvy picks up the small open gold case of cocaine base the man placed on the coffee table and looks at it, reacting) H-h-how much is this stuff?	MAN	 It's about two thousand dollars an ounce.	Annie Hall 
MAN	 (Interrupting) Alvy, listen, while you're in California, could you possibly score some coke for me?	ALVY	 (Over Annie's laughter) Sure, sure, I'll be glad to. I-I'll just put it in a-a-a h-h-hollow heel that I have in my boot, you know. (Alvy picks up the small open gold case of cocaine base the man placed on the coffee table and looks at it, reacting) H-h-how much is this stuff?	MAN	 It's about two thousand dollars an ounce.	ANNIE	 God.	Annie Hall 
VOICES	 (Singing) We wish you a Merry Christmas, We wish you a Merry Christmas, We wish you a Merry Christmas, And a -Happy New Year.	ROB	 (Over the singing) I've never been so relaxed as I have been since I moved out here, Max.  I want you to see my house.  I live right next to Hugh Hefner's house, Max. He lets me use the Jacuzzi.  And the women, Max, they're like the women in Playboy magazine, only they can move their arms and legs.	ANNIE	 (Laughing) You know, I can't get over that this is really Beverly Hills.	VOICES	 (Singing) We wish you a Merry Christmas, And a Happy New Year.	Annie Hall 
ROB	 (Over the singing) I've never been so relaxed as I have been since I moved out here, Max.  I want you to see my house.  I live right next to Hugh Hefner's house, Max. He lets me use the Jacuzzi.  And the women, Max, they're like the women in Playboy magazine, only they can move their arms and legs.	ANNIE	 (Laughing) You know, I can't get over that this is really Beverly Hills.	VOICES	 (Singing) We wish you a Merry Christmas, And a Happy New Year.	ALVY	 Yeah, the architecture is really consistent, isn't it?  French next to-	Annie Hall 
ANNIE	 (Laughing) You know, I can't get over that this is really Beverly Hills.	VOICES	 (Singing) We wish you a Merry Christmas, And a Happy New Year.	ALVY	 Yeah, the architecture is really consistent, isn't it?  French next to-	VOICES	 (Singing over the dialogue) Oh, Christmas ... tree, Oh, Christmas tree, How bright and green Our ...	Annie Hall 
ALVY	 Yeah, the architecture is really consistent, isn't it?  French next to-	VOICES	 (Singing over the dialogue) Oh, Christmas ... tree, Oh, Christmas tree, How bright and green Our ...	ALVY	 -Spanish, next to Tudor, next to Japanese.	ANNIE	 God, it's so clean out here.	Annie Hall 
ALVY	 Can you believe this is Christmas here?	VOICES	 (Singing) Oh Christmas tree, Oh Christmas tree ...	ANNIE	 You know, it was snowing-it was snowing and really gray in New York yesterday.	ROB	 No kidding?	Annie Hall 
ROB	 While you're out here, Max, I want you to see some of my TV show.  And we're invited to a big Christmas party.	VOICES	 (Singing, louder now) Remember Christ our Savior Was born on Christmas day To save us all ... from Satan's power As we were gone astray.					Annie Hall 
ALVY	 (Overlapping the chatter) Oh.	ROB	 Look, now, Charlie, give me a big laugh here.	ROB ON TV SCREEN	 A limousine to the track breakdown?			Annie Hall 
ARNIE	 Yeah.	ROB	 (Turning to the technician) Give me a tremendous laugh here, Charlie.	ALVY	 Look, uh ...	ROB	 (To Alvy) We do the show live in front of an audience.	Annie Hall 
ALVY	 Look, uh ...	ROB	 (To Alvy) We do the show live in front of an audience.	ALVY	 Great, but nobody laughs at it 'cause your jokes aren't funny.	ROB	 Yeah, well, that's why this machine is dynamite.	Annie Hall 
ROB	 (To the technician) Yeah ... uh, now give me a like a medium-size chuckle here ... and then a big hand.	ALVY	 (Removing his glasses and rubbing his face) Is there booing on there?	WOMAN	 We were just gonna fix you up with my cousin Dolores.	ALVY	 (Overlapping the TV) Oh, Max, I don't feel well.	Annie Hall 
WOMAN	 We were just gonna fix you up with my cousin Dolores.	ALVY	 (Overlapping the TV) Oh, Max, I don't feel well.	ROB	 What's the matter?	ALVY	 I don't know, I just got-I got very dizzy... (Coughing) I feel dizzy, Max.	Annie Hall 
ROB	 What's the matter?	ALVY	 I don't know, I just got-I got very dizzy... (Coughing) I feel dizzy, Max.	ROB	 Well, sit down.	ALVY	 (Sitting down) Oh, Jesus.	Annie Hall 
ROB	 Well, sit down.	ALVY	 (Sitting down) Oh, Jesus.	ROB	 You all right?	ALVY	 I don't know, I mean, I-	Annie Hall 
ALVY	 I don't know, I mean, I-	ROB	 (Crouching before Alvy, looking at him) You wanna lie down?	ALVY	 No, no-my, you know, my stomach felt queasy all morning.  I just started getting ...	ROB	 How about a ginger ale?	Annie Hall 
ANNIE	 (Talking into the phone) Yes.	DOCTOR	 (Holding out the food) Why don't you just try to get a little of this down?  This is just plain chicken.	ALVY	 (Taking a piece of chicken and holding it) Oh, oh, no, I can't-I can't eat this. I'm nauseous. (He gasps and makes sounds) If you could-if you could just give me something to get me through the next two hours, you know I-I have to go out to Burbank ... and give out an award on a TV show.	ANNIE	 (On the phone, overlapping the doctor and Alvy) Well ... H-h huh ... Oh, good ... Yes, I'll tell him.	Annie Hall 
DOCTOR	 (Holding out the food) Why don't you just try to get a little of this down?  This is just plain chicken.	ALVY	 (Taking a piece of chicken and holding it) Oh, oh, no, I can't-I can't eat this. I'm nauseous. (He gasps and makes sounds) If you could-if you could just give me something to get me through the next two hours, you know I-I have to go out to Burbank ... and give out an award on a TV show.	ANNIE	 (On the phone, overlapping the doctor and Alvy) Well ... H-h huh ... Oh, good ... Yes, I'll tell him.	DOCTOR	 Well, there's nothing wrong with you actually, so far as I can tell.  I mean, you have no fever, no ... no symptoms of anything serious.  You haven't been eating pork or shellfish.	Annie Hall 
ALVY	 (Taking a piece of chicken and holding it) Oh, oh, no, I can't-I can't eat this. I'm nauseous. (He gasps and makes sounds) If you could-if you could just give me something to get me through the next two hours, you know I-I have to go out to Burbank ... and give out an award on a TV show.	ANNIE	 (On the phone, overlapping the doctor and Alvy) Well ... H-h huh ... Oh, good ... Yes, I'll tell him.	DOCTOR	 Well, there's nothing wrong with you actually, so far as I can tell.  I mean, you have no fever, no ... no symptoms of anything serious.  You haven't been eating pork or shellfish.	ANNIE	 (Sitting on the edge of the bed) Excuse me.  I'm sorry, I'm sorry, Doctor. Uh, Alvy-Alvy, that was the show.  They said everything is fine.  They found a replacement, so they're going to tape without you.	Annie Hall 
DOCTOR	 Well, there's nothing wrong with you actually, so far as I can tell.  I mean, you have no fever, no ... no symptoms of anything serious.  You haven't been eating pork or shellfish.	ANNIE	 (Sitting on the edge of the bed) Excuse me.  I'm sorry, I'm sorry, Doctor. Uh, Alvy-Alvy, that was the show.  They said everything is fine.  They found a replacement, so they're going to tape without you.	ALVY	 (Making sounds) I'm nauseous. (He sighs and gasps) Oh, jesus, now I don't get to do the TV show?	ANNIE	 Yeah.  Listen, Doctor, I'm worried.	Annie Hall 
ANNIE	 (Sitting on the edge of the bed) Excuse me.  I'm sorry, I'm sorry, Doctor. Uh, Alvy-Alvy, that was the show.  They said everything is fine.  They found a replacement, so they're going to tape without you.	ALVY	 (Making sounds) I'm nauseous. (He sighs and gasps) Oh, jesus, now I don't get to do the TV show?	ANNIE	 Yeah.  Listen, Doctor, I'm worried.	DOCTOR	 Now, Mrs. Singer, I can't find anything --	Annie Hall 
DOCTOR	 No, I think I can get a lab man up here.	ALVY	 (Grabbing the rest of the chicken from the plate) Oh, jesus. Can I have the salt, please?	ANNIE	 What do you mean?  Do you think he's-	DOCTOR	 (Handing the salt to Alvy) Yes, excuse me. (To Annie) Perhaps it would be even better if we took him to the hospital for a day or two.	Annie Hall 
ANNIE	 What do you mean?  Do you think he's-	DOCTOR	 (Handing the salt to Alvy) Yes, excuse me. (To Annie) Perhaps it would be even better if we took him to the hospital for a day or two.	ANNIE	 Uh-huh ... Oh, hospital?	DOCTOR	 Well, otherwise, there's no real way to tell what's going on.	Annie Hall 
DOCTOR	 Well, otherwise, there's no real way to tell what's going on.	ALVY	 (Making sounds, gasping) This is not bad, actually.					Annie Hall 
ALVY	 And ... uh-	ROB	 (Interrupting) How do you like this couple, Max?	ROB	 And I think they just came back from Masters and Johnson.	ALVY	 Yeah, intensive care ward. (Watching the woman in white) My God-hey, Max, I think she's ... I think she's giving me the eye.	Annie Hall 
ROB	 And I think they just came back from Masters and Johnson.	ALVY	 Yeah, intensive care ward. (Watching the woman in white) My God-hey, Max, I think she's ... I think she's giving me the eye.	ROB	 If she comes over here, Max, my brain is going to turn into guacamole.	ALVY	 I'll handle it.  I'll handle it.  Hi.	Annie Hall 
GIRL IN WHITE	 You're Alvy Singer, right?  Didn't we meet at EST?	ALVY	 (Reacting) EST?  No, no, I was never to est.	GIRL IN WHITE	 Then how can you criticize it?	ALVY	 Oh.	Annie Hall 
ROB	 Oh, he-he didn't say anything.	ALVY	 (Laughing) No, no, I came out here to get some shock therapy, but there was an energy crisis, so I ... He's my-my food taster. Have you two met?	ROB	 (Shaking his head) Hi.  How do you do.	GIRL IN WHITE	 Do you taste to see if the food's poisoned?	Annie Hall 
ALVY	 (Laughing) No, no, I came out here to get some shock therapy, but there was an energy crisis, so I ... He's my-my food taster. Have you two met?	ROB	 (Shaking his head) Hi.  How do you do.	GIRL IN WHITE	 Do you taste to see if the food's poisoned?	ALVY	 Yeah, he's crazy.	Annie Hall 
TONY	 There's a whole wing in this house.	ANNIE	 (Laughing) Oh yeah, stay here?  U-huh.	TONY	 You can have it to use.  Why-why are you smiling?	ANNIE	 (Laughing) I don't know.  I don't know.	Annie Hall 
TONY	 You can have it to use.  Why-why are you smiling?	ANNIE	 (Laughing) I don't know.  I don't know.					Annie Hall 
ALVY	 Yeah, I love it there.	ANNIE	 (Laughing) Yeah.	TONY	 Well, I used to live there.  I used to live there for years.  You know, but it's gotten-it's so dirty now.	ANNIE	 Yeah.	Annie Hall 
GIRL IN WHITE	 We saw "Grand Illusion" here last night.	ALVY AND ANNIE	 (In unison) Oh, yeah?					Annie Hall 
ALVY AND ANNIE	 (In unison) Oh, yeah? MAN ON THE SOFA (Looking over his shoulder at the group) That's a great film if you're high. (The group laughs, looking down at the man on the sofa. He looks up at them, smiling, a joint in his hand, and offers them a cigarette) Hey, you.	TONY	 (Shaking his head no) Come and see our bedroom.  We did a fantastic lighting job.  Okay?	ANNIE	 Oh, good.  Okay.			Annie Hall 
ALVY	 I'm cool.	ANNIE	 (Taking Alvy's arm) It's wonderful. I mean, you know they just watch movies all day.	ALVY	 Yeah, and gradually you get old and die. You know it's important to make a little effort once in a while.	ANNIE	 Don't you think his girl friend's beautiful?	Annie Hall 
ANNIE'S VOICE-OVER	 (To herself) That was fun.  I don't think California is bad at all.  It's a drag coming home.	ALVY'S VOICE-OVER	 (To himself) Lotta beautiful women.  It was fun to flirt.	ANNIE'S VOICE-OVER	 (As she sips coffee) I have to face facts. I-I adore Alvy, but our relationship doesn't seem to work anymore.	ALVY'S VOICE-OVER	 (An open magazine lies in his lap) I'll have the usual trouble with Annie in bed tonight.  Whatta I need this?	Annie Hall 
ALVY'S VOICE-OVER	 (To himself) Lotta beautiful women.  It was fun to flirt.	ANNIE'S VOICE-OVER	 (As she sips coffee) I have to face facts. I-I adore Alvy, but our relationship doesn't seem to work anymore.	ALVY'S VOICE-OVER	 (An open magazine lies in his lap) I'll have the usual trouble with Annie in bed tonight.  Whatta I need this?	ANNIE'S VOICE-OVER	 If only I had the nerve to break up, but it would really hurt him.	Annie Hall 
ANNIE'S VOICE-OVER	 (As she sips coffee) I have to face facts. I-I adore Alvy, but our relationship doesn't seem to work anymore.	ALVY'S VOICE-OVER	 (An open magazine lies in his lap) I'll have the usual trouble with Annie in bed tonight.  Whatta I need this?	ANNIE'S VOICE-OVER	 If only I had the nerve to break up, but it would really hurt him.	ALVY'S VOICE-OVER	 If only I didn't feel guilty asking Annie to move out.  It'd probably wreck her.  But I should be honest.	Annie Hall 
ALVY'S VOICE-OVER	 If only I didn't feel guilty asking Annie to move out.  It'd probably wreck her.  But I should be honest.	ANNIE	 (Looking back at Alvy) Alvy, uh, let's face it.  You know something, don't think our relationship is working.	ALVY	 Tsch, I know.  A relationship, I think, is-is like a shark, you know?  It has to constantly move forward or it dies. (He sighs) And I think what we got on our hands (Clearing his throat) is a dead shark.			Annie Hall 
ANNIE	 (Looking back at Alvy) Alvy, uh, let's face it.  You know something, don't think our relationship is working.	ALVY	 Tsch, I know.  A relationship, I think, is-is like a shark, you know?  It has to constantly move forward or it dies. (He sighs) And I think what we got on our hands (Clearing his throat) is a dead shark.					Annie Hall 
ALVY	 (Holding up a book) Whose "Catcher in the Rye" is this?	ANNIE	 (Walking into the room with an armload of books) Well, let's see now ... If it has my name on it, then I guess it's mine.	ALVY	 (Reacting) Oh, it sure has ... You know, you wrote your name in all my books, 'cause you knew this day was gonna come.	ANNIE	 (Putting down the books and flipping back her hair) Well, uh, Alvy, you wanted to break up just as much as I do.	Annie Hall 
ANNIE	 (Walking into the room with an armload of books) Well, let's see now ... If it has my name on it, then I guess it's mine.	ALVY	 (Reacting) Oh, it sure has ... You know, you wrote your name in all my books, 'cause you knew this day was gonna come.	ANNIE	 (Putting down the books and flipping back her hair) Well, uh, Alvy, you wanted to break up just as much as I do.	ALVY	 (Riffling through the books) There's no-no question in my mind.  I think we're doing the mature thing, without any doubt.	Annie Hall 
ALVY	 (Reacting) Oh, it sure has ... You know, you wrote your name in all my books, 'cause you knew this day was gonna come.	ANNIE	 (Putting down the books and flipping back her hair) Well, uh, Alvy, you wanted to break up just as much as I do.	ALVY	 (Riffling through the books) There's no-no question in my mind.  I think we're doing the mature thing, without any doubt.	ANNIE	 (Holding a framed picture and moving about) Now, look, all the books on death and dying are yours and all the poetry books are mine.	Annie Hall 
ANNIE	 (Putting down the books and flipping back her hair) Well, uh, Alvy, you wanted to break up just as much as I do.	ALVY	 (Riffling through the books) There's no-no question in my mind.  I think we're doing the mature thing, without any doubt.	ANNIE	 (Holding a framed picture and moving about) Now, look, all the books on death and dying are yours and all the poetry books are mine.	ALVY	 (Looking down at a book) This "Denial of Death".  You remember this?	Annie Hall 
ALVY	 (Riffling through the books) There's no-no question in my mind.  I think we're doing the mature thing, without any doubt.	ANNIE	 (Holding a framed picture and moving about) Now, look, all the books on death and dying are yours and all the poetry books are mine.	ALVY	 (Looking down at a book) This "Denial of Death".  You remember this?	ANNIE	 Oh-	Annie Hall 
ANNIE	 (Holding a framed picture and moving about) Now, look, all the books on death and dying are yours and all the poetry books are mine.	ALVY	 (Looking down at a book) This "Denial of Death".  You remember this?	ANNIE	 Oh-	ALVY	 This is the first book that I got you.	Annie Hall 
ALVY	 Thanks, honey.	ANNIE	 (Patting Alvy's shoulder) Oh, no, no, no, no, no.  I mean, you know, no, no, no, I mean, I think it's really important for us to explore new relationships and stuff like that.	ALVY	 There's no-there's no question about that, 'cause we've given this ... uh, uh, I think a more than fair shot, you know?	ANNIE	 (Off screen) Yeah, my analyst thinks this move is keen for me.	Annie Hall 
ALVY	 There's no-there's no question about that, 'cause we've given this ... uh, uh, I think a more than fair shot, you know?	ANNIE	 (Off screen) Yeah, my analyst thinks this move is keen for me.	ALVY	 (Off screen) Yeah, and I-I tru-  you know, I trust her, because my-my analyst recommended her.	ANNIE	 (Walking in with another armload of books) Well, why should I put you through all my moods and hang-ups anyway?	Annie Hall 
ANNIE	 (Off screen) Yeah, my analyst thinks this move is keen for me.	ALVY	 (Off screen) Yeah, and I-I tru-  you know, I trust her, because my-my analyst recommended her.	ANNIE	 (Walking in with another armload of books) Well, why should I put you through all my moods and hang-ups anyway?	ALVY	 Right.  And you-and you know what the beauty part is?	Annie Hall 
ALVY	 (Off screen) Yeah, and I-I tru-  you know, I trust her, because my-my analyst recommended her.	ANNIE	 (Walking in with another armload of books) Well, why should I put you through all my moods and hang-ups anyway?	ALVY	 Right.  And you-and you know what the beauty part is?	ANNIE	 What?	Annie Hall 
ANNIE	 What?	ALVY	 (Holding a small box of buttons) We can always come back together again. Because there's no-there's no problem. 'Cause ... Right.	ANNIE	 (Overlapping) Exactly, but ... exactly.  Ooooh!	ALVY	 You know, I-I-I don't think many couples could handle this.  You know, they could just break up and remain friends.	Annie Hall 
ALVY	 (Holding a small box of buttons) We can always come back together again. Because there's no-there's no problem. 'Cause ... Right.	ANNIE	 (Overlapping) Exactly, but ... exactly.  Ooooh!	ALVY	 You know, I-I-I don't think many couples could handle this.  You know, they could just break up and remain friends.	ANNIE	 (Taking a button from a box) Hey, this one's mine, this button. This one, you rem-	Annie Hall 
ALVY	 You know, I-I-I don't think many couples could handle this.  You know, they could just break up and remain friends.	ANNIE	 (Taking a button from a box) Hey, this one's mine, this button. This one, you rem-	ALVY	 (Interrupting) Yeah.	ANNIE	 I guess these are all yours.  Impeach, uh, Eisenhower ... Impeach Nixon ... Impeach Lyndon Johnson ... Impeach Ronald Reagan.	Annie Hall 
ANNIE	 (Taking a button from a box) Hey, this one's mine, this button. This one, you rem-	ALVY	 (Interrupting) Yeah.	ANNIE	 I guess these are all yours.  Impeach, uh, Eisenhower ... Impeach Nixon ... Impeach Lyndon Johnson ... Impeach Ronald Reagan.			Annie Hall 
OLD WOMAN	 Don't tell me you're jealous?	ALVY	 Yeah, jealous. A little bit like Medea. Lemme, lemme-can I show you something, lady? (He takes a small item from his pocket to show the woman) What I have here ... I found this in the apartment.  Black soap.  She used to wash her face eight hundred times a day with black soap. Don't ask me why.	OLD WOMAN	 Well, why don't you go out with other women?	ALVY	 Well, I-I tried, but it's, uh, you know, it's very depressing.	Annie Hall 
ALVY	 (Pointing to the lobster) This always happens to me.  Quick, g-go get a broom.	GIRL DATE	 (Smoking) What are you making such a big deal about? (As she talks, the lobster drops from the tray to the floor.  Alvy jumps away, then gingerly scrapes the tray toward the lobster) They're only lobsters.  Look, you're a grown man, you know how to pick up a lobster.	ALVY	 (Looking up in stooped-over position) I'm not myself since I stopped smoking.	GIRL DATE	 (Still leaning against the sink, her hand on her hip) Oh, when'd you quit smoking?	Annie Hall 
GIRL DATE	 (Smoking) What are you making such a big deal about? (As she talks, the lobster drops from the tray to the floor.  Alvy jumps away, then gingerly scrapes the tray toward the lobster) They're only lobsters.  Look, you're a grown man, you know how to pick up a lobster.	ALVY	 (Looking up in stooped-over position) I'm not myself since I stopped smoking.	GIRL DATE	 (Still leaning against the sink, her hand on her hip) Oh, when'd you quit smoking?	ALVY	 Sixteen years ago.	Annie Hall 
ALVY	 (Looking up in stooped-over position) I'm not myself since I stopped smoking.	GIRL DATE	 (Still leaning against the sink, her hand on her hip) Oh, when'd you quit smoking?	ALVY	 Sixteen years ago.	GIRL DATE	 (Puzzled) Whatta you mean?	Annie Hall 
ALVY	 Sixteen years ago.	GIRL DATE	 (Puzzled) Whatta you mean?	ALVY	 (Mocking) Mean?	GIRL DATE	 You stopped smoking sixteen years ago, is that what you said?  Oh, I-I don't understand.  Are you joking, or what?	Annie Hall 
GIRL DATE	 (Puzzled) Whatta you mean?	ALVY	 (Mocking) Mean?	GIRL DATE	 You stopped smoking sixteen years ago, is that what you said?  Oh, I-I don't understand.  Are you joking, or what?			Annie Hall 
ALVY	 Whatta you mean, where am I? Where do- where do you think I am?  I'm-I'm out ... I'm at the Los Angeles Airport. I flew in ... (Sniffling) Tsch, I-well, I flew in to see you ... (Muttering) Hey, listen, can we not debate this on-on the telephone because I'm, you know, I-I feel that I got a temperature and I'm-I'm getting my-my chronic Los Angeles nausea. I-I don't feel so good.	ALVY'S VOICE-OVER	 Well, where-wherever you wanna meet, I don't care.  I'll-I'll drive in.  I rented a car I'm driving ... that ... Whatta you mean?  What-why is that such a miracle?  I'm driving myself --					Annie Hall 
ALVY	 (To the waitress) I'm gonna...I'm gonna have the alfalfa sprouts and, uh, a plate of mashed yeast.	ANNIE	 Hi.	ALVY	 You look very pretty.			Annie Hall 
ALVY	 You look very pretty.	ANNIE	 Oh, no, I just lost a little weight, that's all. (Alvy adjusts his glasses, not exactly knowing where to start; a bit uneasy) Well, you look nice.	ALVY	 (Nodding his head) You see, I-I've been thinking about it and I think that we should get married.	ANNIE	 (Adjusting her sunglasses) Oh, Alvy, come on.	Annie Hall 
ANNIE	 Oh, no, I just lost a little weight, that's all. (Alvy adjusts his glasses, not exactly knowing where to start; a bit uneasy) Well, you look nice.	ALVY	 (Nodding his head) You see, I-I've been thinking about it and I think that we should get married.	ANNIE	 (Adjusting her sunglasses) Oh, Alvy, come on.	ALVY	 Why?  You wanna live out here all year? It's like living in Munchkin Land.	Annie Hall 
ALVY	 (Nodding his head) You see, I-I've been thinking about it and I think that we should get married.	ANNIE	 (Adjusting her sunglasses) Oh, Alvy, come on.	ALVY	 Why?  You wanna live out here all year? It's like living in Munchkin Land.	ANNIE	 (Looking around) Well, whatta you mean?  I mean, it's perfectly fine out here.  I mean, Tony's very nice and, uh, well, I meet people and I go to parties and-and we play tennis. I mean, that's ... that's a very big step for me, you know?  I mean ... (Reacting, Alvy looks down at his hands, then up) I'm able to enjoy people more.	Annie Hall 
ALVY	 Why?  You wanna live out here all year? It's like living in Munchkin Land.	ANNIE	 (Looking around) Well, whatta you mean?  I mean, it's perfectly fine out here.  I mean, Tony's very nice and, uh, well, I meet people and I go to parties and-and we play tennis. I mean, that's ... that's a very big step for me, you know?  I mean ... (Reacting, Alvy looks down at his hands, then up) I'm able to enjoy people more.	ALVY	 (Sadly) So whatta you ... You're not gonna come back to New York?	ANNIE	 (Smiling) What's so great about New York?  I mean, it's a dying city.  You read "Death in Venice."	Annie Hall 
ANNIE	 (Looking around) Well, whatta you mean?  I mean, it's perfectly fine out here.  I mean, Tony's very nice and, uh, well, I meet people and I go to parties and-and we play tennis. I mean, that's ... that's a very big step for me, you know?  I mean ... (Reacting, Alvy looks down at his hands, then up) I'm able to enjoy people more.	ALVY	 (Sadly) So whatta you ... You're not gonna come back to New York?	ANNIE	 (Smiling) What's so great about New York?  I mean, it's a dying city.  You read "Death in Venice."	ALVY	 Hey, you didn't read "Death in Venice" till I bought it for yuh.	Annie Hall 
ALVY	 (Sadly) So whatta you ... You're not gonna come back to New York?	ANNIE	 (Smiling) What's so great about New York?  I mean, it's a dying city.  You read "Death in Venice."	ALVY	 Hey, you didn't read "Death in Venice" till I bought it for yuh.	ANNIE	 That's right, that's right. (Still smiling) You only gave me books with the word "death" in the titles.	Annie Hall 
ALVY	 Hey, you didn't read "Death in Venice" till I bought it for yuh.	ANNIE	 That's right, that's right. (Still smiling) You only gave me books with the word "death" in the titles.	ALVY	 (Nodding his head and gesturing) That's right, 'cause it's an important issue.	ANNIE	 Alvy, you're incapable of enjoying life, you know that?  I mean, your life is New York City.  You're just this person. You're like this island unto yourself.	Annie Hall 
ANNIE	 That's right, that's right. (Still smiling) You only gave me books with the word "death" in the titles.	ALVY	 (Nodding his head and gesturing) That's right, 'cause it's an important issue.	ANNIE	 Alvy, you're incapable of enjoying life, you know that?  I mean, your life is New York City.  You're just this person. You're like this island unto yourself.	ALVY	 (Toying with his car keys) I can't enjoy anything unless I ... unless everybody is.  I-you know, if one guy is starving someplace, that's ... you know, I-I ... it puts a crimp in my evening. (Looking down at his hands, sadly) So wanna get married or what?	Annie Hall 
ANNIE	 Alvy, you're incapable of enjoying life, you know that?  I mean, your life is New York City.  You're just this person. You're like this island unto yourself.	ALVY	 (Toying with his car keys) I can't enjoy anything unless I ... unless everybody is.  I-you know, if one guy is starving someplace, that's ... you know, I-I ... it puts a crimp in my evening. (Looking down at his hands, sadly) So wanna get married or what?	ANNIE	 (Seriously) No. We're friends.  I wanna remain friends.	ALVY	 (In disbelief) Okay. (Louder, to the waitress) Check, please.  Can I -can I ... Can I ... Can I ...	Annie Hall 
ALVY	 (Toying with his car keys) I can't enjoy anything unless I ... unless everybody is.  I-you know, if one guy is starving someplace, that's ... you know, I-I ... it puts a crimp in my evening. (Looking down at his hands, sadly) So wanna get married or what?	ANNIE	 (Seriously) No. We're friends.  I wanna remain friends.	ALVY	 (In disbelief) Okay. (Louder, to the waitress) Check, please.  Can I -can I ... Can I ... Can I ...	ANNIE	 (Interrupting) You're mad, aren't you?	Annie Hall 
