ADDISON'S VOICE	 Having covered in tedious detail not only the history of the Sarah Siddons Society, but also the history of acting since Thespis first stepped out of the chorus line - our distinguished chairman has finally arrived at our reason for being here...	AGED ACTOR	 I have been proud and privileged to have spent my life in the Theater - "a poor player ... that struts and frets his hour upon the stage" - and I have been honored to be, for forty years, Chief Promoter of the Sarah Siddons Society... (he lifts the Sarah Siddons Award from its altar) Thirty-nine times have I placed in deserving hands this highest honor the Theater knows... (he grows a bit arch, he uses his eyebrows) Surely no actor is older than I - I have earned my place out of the sun... (indulgent laughter) ... and never before has this Award gone to anyone younger than its recipient tonight. How fitting that it should pass from my hands to hers...	AGED ACTOR	 Such young hands. Such a young lady. Young in years, but whose heart is as old as the Theater...	AGED ACTOR	 Some of us a privileged to know her. We have seen beyond the beauty and artistry-	All-About-Eve
EVE	 Just like that.	ADDISON	 (thoughtfully) Do you know, Eve - sometimes I think you keep things from me.	EVE	 I don't think that's funny.	ADDISON	 It wasn't meant to be.	All-About-Eve
EVE	 I confide in you and rely on you more than anyone I've ever known! To say a thing like that now - without any reason - when I need you more than ever...	ADDISON	 (breaks in) I hope you mean what you say, Eve. I intend to hold you to it.	ADDISON	 We have a great deal in common, it seems to me...	LLOYD	 - well? What happened?	All-About-Eve
KAREN	 Not much.	MARGO	 Groom- (Bill says "huh?") - may I have a wedding present?	BILL	 What would you like? Texas?	MARGO	 I want everybody to shut up about Eve. Just shut up about Eve, that's all I want. Give Karen more wine... (blissfully) ... never have I been so happy. Isn't this a lovely room? The Cub Room. What a lovely, clever name. Where the elite meet. Never have I seen so much elite - and all with their eyes on me. Waiting for me to crack that little gnome over the noggin with a bottle. But not tonight. Even Eve. I forgive Eve... there they go.	All-About-Eve
BILL	 What would you like? Texas?	MARGO	 I want everybody to shut up about Eve. Just shut up about Eve, that's all I want. Give Karen more wine... (blissfully) ... never have I been so happy. Isn't this a lovely room? The Cub Room. What a lovely, clever name. Where the elite meet. Never have I seen so much elite - and all with their eyes on me. Waiting for me to crack that little gnome over the noggin with a bottle. But not tonight. Even Eve. I forgive Eve... there they go.	MARGO	 There goes Eve. Eve evil, Little Miss Evil. But the evil that men do - how does it go, groom? Something about the good they leave behind - I played it once in rep in Wilkes Barre...	BILL	 You've got it backwards. Even for Wilkes-Barre.	All-About-Eve
MARGO	 She is a louse.	BILL	 (to Lloyd) Never try to outguess Margo.	MARGO	 Groom.	BILL	 Yes, dear.	All-About-Eve
MARGO	 I'm going to have a home. Not just a house I'm afraid to stay in... and a man to go with it. I'll look up at six o'clock - and there he'll be... remember, Karen?	KAREN	 (quietly) I remember.	MARGO	 (to Bill) You'll be there, won't you.	BILL	 (grins) Often enough to keep the franchise.	All-About-Eve
KAREN	 (quietly) I remember.	MARGO	 (to Bill) You'll be there, won't you.	BILL	 (grins) Often enough to keep the franchise.	MARGO	 A foursquare, upright, downright, forthright married lady... that's for me. And no more make believe! Off stage or on... remember, Lloyd. (Lloyd nods) I mean it, now. Grown-up women only, I might even play a mother - only one child, of course, not over eight... (they all smile) Lloyd, will you promise not to be angry with me?	All-About-Eve
MARGO	 (to Bill) You'll be there, won't you.	BILL	 (grins) Often enough to keep the franchise.	MARGO	 A foursquare, upright, downright, forthright married lady... that's for me. And no more make believe! Off stage or on... remember, Lloyd. (Lloyd nods) I mean it, now. Grown-up women only, I might even play a mother - only one child, of course, not over eight... (they all smile) Lloyd, will you promise not to be angry with me?	LLOYD	 (smiles) That depends.	All-About-Eve
BILL	 (grins) Often enough to keep the franchise.	MARGO	 A foursquare, upright, downright, forthright married lady... that's for me. And no more make believe! Off stage or on... remember, Lloyd. (Lloyd nods) I mean it, now. Grown-up women only, I might even play a mother - only one child, of course, not over eight... (they all smile) Lloyd, will you promise not to be angry with me?	LLOYD	 (smiles) That depends.	MARGO	 I mean really, deeply angry...	All-About-Eve
MARGO	 A foursquare, upright, downright, forthright married lady... that's for me. And no more make believe! Off stage or on... remember, Lloyd. (Lloyd nods) I mean it, now. Grown-up women only, I might even play a mother - only one child, of course, not over eight... (they all smile) Lloyd, will you promise not to be angry with me?	LLOYD	 (smiles) That depends.	MARGO	 I mean really, deeply angry...	LLOYD	 I don't think I could be.	All-About-Eve
MARGO	 Well. I don't want to play "Cora."	KAREN	 (explodes) What?	MARGO	 (hastily) Now wait a minute, you're always so touchy about his plays, it isn't the part - it's a great part. And a fine play. But not for me anymore - not a foursquare, upright, downright, forthright married lady.	LLOYD	 What's your being married got to do with it?	All-About-Eve
KAREN	 (explodes) What?	MARGO	 (hastily) Now wait a minute, you're always so touchy about his plays, it isn't the part - it's a great part. And a fine play. But not for me anymore - not a foursquare, upright, downright, forthright married lady.	LLOYD	 What's your being married got to do with it?	MARGO	 It means I've finally got a life to live! I don't have to play parts I'm too old for - just because I've got nothing to do with my nights! (then quietly) I know you've made plans. I'll make it up to you, believe me. I'll tour a year with this one, anything - only you do understand - don't you, Lloyd?	All-About-Eve
LLOYD	 What's your being married got to do with it?	MARGO	 It means I've finally got a life to live! I don't have to play parts I'm too old for - just because I've got nothing to do with my nights! (then quietly) I know you've made plans. I'll make it up to you, believe me. I'll tour a year with this one, anything - only you do understand - don't you, Lloyd?	LLOYD	 What's so funny?	KAREN	 Nothing...	All-About-Eve
LLOYD	 Who is it? What's it all about?	KAREN	 (into phone) Did Miss Harrington tell you to call Mr. Richards?					All-About-Eve
GIRL	 I'll tell her, Mr. Richards. RICHARDS' BEDROOM, Karen is still in bed, phone still in her hand. She hangs up, swings her legs out, puts out her cigarette, gets into a robe. The open door and light of the dressing room tell us where Lloyd is.	KAREN	 (finally) Aren't you... broadening the duties of a playwright just a bit? Rushing off in the middle of the night like a country doctor?	KAREN	 What would you do if, instead of Eve, the leading man had called up to say her was hysterical?	KAREN	 Lloyd, I don't want you to go!	All-About-Eve
KAREN	 I'm a human being, I've got some!	LLOYD	 (goes right on) - and for my feelings in particular! For my play, my career - and now for a frightened, hysterical girl on the eve of her first night in the Theater!	KAREN	 Have you forgotten about Eve? What she is, what she's done?	LLOYD	 Old wives' tales, born of envy and jealousy! And a phobia against truth!	All-About-Eve
ADDISON	 And tomorrow morning you will have won your beachhead on the shores of Immortality...	EVE	 (grins) Stop rehearsing your column... Isn't it strange, Addison? I thought I'd be panic-stricken, want to run away or something. Instead, I can't wait for tonight to come. To come and go...	ADDISON	 Are you that sure of tomorrow?	EVE	 Aren't you?	All-About-Eve
EVE	 Why not?	ADDISON	 The mark of a true killer. (he holds out his hand) Sleep tight, rest easy - and come out fighting...	EVE	 Why'd call me a killer?	ADDISON	 Did I say killer? I meant champion. I get my boxing terms mixed.	All-About-Eve
ADDISON	 Did I say killer? I meant champion. I get my boxing terms mixed.	EVE	 (calling) Addison- (he pauses) - come on in for just a minute, won't you? There's... I've got something to tell you.					All-About-Eve
EVE	 Lloyd. I never have any, and he likes a couple of drinks after we finish - so he sent it up...	ADDISON	 Some plain soda. (Eve starts to fix it) Lloyd must be expecting a record run in New Haven...	EVE	 That's for tonight. You're invited. We're having everyone up after the performance.	ADDISON	 We're?	All-About-Eve
EVE	 Addison...	ADDISON	 (blandly) She's always been so fantastically devoted to Lloyd. I would imagine that only death or destruction could keep her-	EVE	 (breaks in) Addison, just a few minutes ago. When I told you this would be a night to remember - that it would bring me everything I wanted-	ADDISON	 (nods) - something about an old road ending and a new one starting - paved with stars...	All-About-Eve
ADDISON	 (blandly) She's always been so fantastically devoted to Lloyd. I would imagine that only death or destruction could keep her-	EVE	 (breaks in) Addison, just a few minutes ago. When I told you this would be a night to remember - that it would bring me everything I wanted-	ADDISON	 (nods) - something about an old road ending and a new one starting - paved with stars...	EVE	 I didn't mean just the Theater.	All-About-Eve
EVE	 (breaks in) Addison, just a few minutes ago. When I told you this would be a night to remember - that it would bring me everything I wanted-	ADDISON	 (nods) - something about an old road ending and a new one starting - paved with stars...	EVE	 I didn't mean just the Theater.	ADDISON	 What else?	All-About-Eve
ADDISON	 What else?	EVE	 (her back to him) Lloyd Richards. He's going to leave Karen. We're going to be married.	ADDISON	 So that's it. Lloyd. Still just the Theater, after all...	EVE	 (turns; shocked) It's nothing of the kind! Lloyd loves me, I love him!	All-About-Eve
ADDISON	 So that's it. Lloyd. Still just the Theater, after all...	EVE	 (turns; shocked) It's nothing of the kind! Lloyd loves me, I love him!	ADDISON	 I know nothing about Lloyd and his loves - I leave those to Louisa May Alcott. But I do know you.	EVE	 I'm in love with Lloyd!	All-About-Eve
ADDISON	 - and artistically, the most promising! Eve dear, this is Addison.	EVE	 Addison, won't it be just perfect? Lloyd and I - there's no telling how far we can go... he'll write great plays for me, I'll make them be great! (as she sits) You're the only one I've told, the only one that knows except Lloyd and me...	ADDISON	 ... and Karen.	EVE	 She doesn't know.	All-About-Eve
EVE	 But not all of it - not that Lloyd and I are going to be married.	ADDISON	 (thoughtfully) I see. And when was this unholy alliance joined?	EVE	 We decided the night before last, before we came up here...	ADDISON	 (increasingly tense) Was the setting properly romantic - the lights on dimmers, gypsy violins off stage?	All-About-Eve
EVE	 We decided the night before last, before we came up here...	ADDISON	 (increasingly tense) Was the setting properly romantic - the lights on dimmers, gypsy violins off stage?	EVE	 The setting wasn't romantic, but Lloyd was. He woke me up at three in the morning, banging on my door - he couldn't sleep, he told me - he's left Karen, he couldn't go on with the play or anything else until I promised to marry him... we sat and talked until it was light. He never went home...	ADDISON	 You sat and talked until it was light...	All-About-Eve
ADDISON	 You sat and talked until it was light...	EVE	 (meaningly) We sat and talked, Addison. I want a run of the play contract.	ADDISON	 (quietly) There never was, there'll never be another like you.	EVE	 (happily) Well, say something - anything! Congratulations, skol - good work, Eve!	All-About-Eve
EVE	 (meaningly) We sat and talked, Addison. I want a run of the play contract.	ADDISON	 (quietly) There never was, there'll never be another like you.	EVE	 (happily) Well, say something - anything! Congratulations, skol - good work, Eve!	ADDISON	 What do you take me for?	All-About-Eve
ADDISON	 (quietly) There never was, there'll never be another like you.	EVE	 (happily) Well, say something - anything! Congratulations, skol - good work, Eve!	ADDISON	 What do you take me for?	EVE	 (cautiously) I don't know what I take you for anything...	All-About-Eve
ADDISON	 What do you take me for?	EVE	 (cautiously) I don't know what I take you for anything...	ADDISON	 (moving away) It is possible - even conceivable - that you've confused me with that gang of backward children you've been playing tricks on - that you have the same contempt for me that you have for them?	EVE	 I'm sure you mean something by that, Addison, but I don't know what...	All-About-Eve
EVE	 (cautiously) I don't know what I take you for anything...	ADDISON	 (moving away) It is possible - even conceivable - that you've confused me with that gang of backward children you've been playing tricks on - that you have the same contempt for me that you have for them?	EVE	 I'm sure you mean something by that, Addison, but I don't know what...	ADDISON	 Look closely, Eve, it's time you did. I am Addison deWitt. I'm nobody's fool. Least of all - yours.	All-About-Eve
EVE	 I still don't know what you're getting at. Right now I want to take my nap. It's important that I-	ADDISON	 (breaks in) - it's important right now that we talk. Killer to killer.	EVE	 (wisely) Champion to champion.	ADDISON	 Not with me, you're no champion. You're stepping way up in class.	All-About-Eve
ADDISON	 (breaks in) - it's important right now that we talk. Killer to killer.	EVE	 (wisely) Champion to champion.	ADDISON	 Not with me, you're no champion. You're stepping way up in class.	EVE	 Addison, will you please say what you have to say plainly and distinctly - and then get out so I can take my nap!	All-About-Eve
EVE	 Addison, will you please say what you have to say plainly and distinctly - and then get out so I can take my nap!	ADDISON	 Very well, plainly and distinctly. Although I consider it unnecessary - because you know as well as I, what I am about to say. (they are now facing each other) Lloyd may leave Karen, but he will not leave Karen for you.	EVE	 What do you mean by that?	ADDISON	 More plainly and more distinctly? I Have not come to New Haven to see the play, discuss your dreams, or to pull the ivy from the walls of Yale! I have come to tell you that you will not marry Lloyd - or anyone else - because I will not permit it.	All-About-Eve
EVE	 ... taken it for granted? That you and I...	ADDISON	 (quietly) Remember as long as you live, never to laugh at me. At anything or anyone else - but never at me.	EVE	 Get out!	ADDISON	 You're too short for that gesture. Besides, it went out with Mrs. Fiske.	All-About-Eve
ADDISON	 It is true that your parents were poor. They still are. And they would like to know how you are - and where. They haven't heard from you for three years...	EVE	 (curtly) What of it?	ADDISON	 A matter of opinion. Granted. It is also true that you worked in a brewery. But life in the brewery was apparently not as dull as you pictured it. As a matter of fact, it got less and less dull - until you boss's wife had your boss followed by detectives!	EVE	 (whirls on him) She never proved anything, not a thing!	All-About-Eve
ADDISON	 A matter of opinion. Granted. It is also true that you worked in a brewery. But life in the brewery was apparently not as dull as you pictured it. As a matter of fact, it got less and less dull - until you boss's wife had your boss followed by detectives!	EVE	 (whirls on him) She never proved anything, not a thing!	ADDISON	 But the $500 you got to get out of town brought you straight to New York - didn't it?	ADDISON	 That $500 brought you straight to New York - didn't it?	All-About-Eve
ADDISON	 You used my name and my column to blackmail Karen into getting you the part of "Cora" - and you lied to me about it!	EVE	 (into the bed) No-no-no...	ADDISON	 I had lunch with Karen not three hours ago. As always with women who want to find out things, she told more than she learned... (he lets go of her hands) ... do you want to change your story about Lloyd beating at your door the other night?	EVE	 Please... please...	All-About-Eve
EVE	 (into the bed) No-no-no...	ADDISON	 I had lunch with Karen not three hours ago. As always with women who want to find out things, she told more than she learned... (he lets go of her hands) ... do you want to change your story about Lloyd beating at your door the other night?	EVE	 Please... please...	ADDISON	 That I should want you at all suddenly strikes me as the height of improbability. But that, in itself, is probably the reason. You're an improbable person, Eve, and so am I. We have that in common. Also a contempt for humanity, an inability to love or be loved, insatiable ambition - and talent. We deserve each other. Are you listening to me?	All-About-Eve
ADDISON	 Take your nap, now. And good luck for tonight.	EVE	 (tonelessly) I won't play tonight. (Addison pauses) I couldn't. Not possibly. I couldn't go on...	ADDISON	 (smiles) Couldn't go on? You'll give the performance of your life.			All-About-Eve
EVE	 (tonelessly) I won't play tonight. (Addison pauses) I couldn't. Not possibly. I couldn't go on...	ADDISON	 (smiles) Couldn't go on? You'll give the performance of your life.					All-About-Eve
ADDISON'S VOICE	 And she gave the performance of her life. And it was a night to remember, that night...	EVE	 Honored members of Sarah Siddons Society, distinguished guests, ladies and gentlemen: What is there for me to say? Everything wise and witty has long since been said - by minds more mature and talents far greater than mine. For me to thank you as equals would be presumptuous - I am an apprentice in the Theater and have much to learn from you all. I can say only that I am proud and happy and that I regard this great honor not so much as an award for what I have achieved, but as a standard to hold against what I have yet to accomplish. (applause) And further, I regard it as bestowed upon me only in part. The larger share belongs to my friends in the Theater - and to the Theater itself, which has given me all I have. In good conscience, I must give credit where credit is due. To Max Fabian-	EVE'S VOICE	 - dear Max. Dear, sentimental, generous, courageous Max Fabian - who took a chance on an unknown, untried, amateur...	EVE	 And to my first friend in the Theater - whose kindness and graciousness I shall never forget... Karen - Mrs. Lloyd Richards...	All-About-Eve
EVE	 Thank you, Karen.	MAX	 (to Addison) I'm giving her a very high-class party. It ain't like a rehearsal, she don't have to be late.	ADDISON	 As soon as the peasants stop pawing her.	MARGO	 ... nice speech, Eve. But I wouldn't worry too much about your heart. You can always put that award where your heart ought to be.	All-About-Eve
ADDISON	 You can have one at Max's.	EVE	 (sits) I don't think I'm going.	ADDISON	 (sighs) Why not?	EVE	 Because I don't want to.	All-About-Eve
EVE	 (sits) I don't think I'm going.	ADDISON	 (sighs) Why not?	EVE	 Because I don't want to.	ADDISON	 (patiently) Max has gone to a great deal of trouble, it's going to be an elaborate party, and it's for you.	All-About-Eve
EVE	 Because I don't want to.	ADDISON	 (patiently) Max has gone to a great deal of trouble, it's going to be an elaborate party, and it's for you.	EVE	 No, it's not. (she holds up the award) It's for this.	ADDISON	 It's the same thing, isn't it?	All-About-Eve
ADDISON	 (patiently) Max has gone to a great deal of trouble, it's going to be an elaborate party, and it's for you.	EVE	 No, it's not. (she holds up the award) It's for this.	ADDISON	 It's the same thing, isn't it?	EVE	 Exactly. (she gives him the award) Here. Take it to the party instead of me.	All-About-Eve
ADDISON	 It's the same thing, isn't it?	EVE	 Exactly. (she gives him the award) Here. Take it to the party instead of me.	ADDISON	 You're being childish.	EVE	 I'm tired. I want to go home.	All-About-Eve
EVE	 I'm tired. I want to go home.	ADDISON	 (curtly) Very well. I shall drop you and go on to the party. I have no intention of missing it...					All-About-Eve
GIRL	 Please don't have me arrested, please! I didn't steal anything - you can search me!	EVE	 (pauses) How did you get in here?	GIRL	 I hid outside in the hall till the maid came to turn down your bed. She must've forgot something and when she went to get it, she left the door open. I sneaked in and hid till she finished. Then I just looked around - and pretty soon I was afraid somebody'd notice the lights were on so I turned them off - and then I guess, I fell asleep.	EVE	 You were just looking around...	All-About-Eve
EVE	 It's after one now. You won't get home till all hours.	GIRL	 (smiles) I don't care if I never get home.	EVE	 That's the door.	GIRL	 You rest. I'll get it...	All-About-Eve
ADDISON	 Hello, there. Who are you?	GIRL	 (shyly) Miss Harrington's resting, Mr. deWitt. She asked me to see who it is...	ADDISON	 We won't disturb her rest. It seems she left her award in the taxicab. Will you give it to her?	ADDISON	 How do you know my name?	All-About-Eve
ADDISON	 Phoebe?	GIRL	 (stubbornly) I call myself Phoebe.	ADDISON	 Why not? Tell me, Phoebe, do you want some day to have an award like that of your own?	PHOEBE	 More than anything else in the world.	All-About-Eve
ADDISON	 Then you must Miss Harrington how to get one. Miss Harrington knows all about it...	EVE'S VOICE	 (sleepy; from the living room) Who was it?	PHOEBE	 Just a taxi driver, Miss Harrington. You left the award in his cab and he brought it back...	EVE'S VOICE	 Oh. Put it on one of the trunks, will you? I want to pack it...	All-About-Eve
