BUD (V.O.)	 It's a real nice apartment - nothing fancy -- but kind of cozy -- just right for a bachelor. The only problem is - I can't always get in when I want to. INT. THE APARTMENT - EVENING (Picasso, Braque, Klee) tacked up on the walls.	KIRKEBY	 (calling off) Come on, Sylvia.  It's getting late.	KIRKEBY	 Cut it out, Sylvia.  We got to get out of here.			Apartment, The 
DR. DREYFUSS	 I don't want to gloat, but just between us, you had that coming to you. (tilts Bud's chin up, examines his eye) Tch, tch, tch. Are you going to have a shiner tomorrow. Let me get my bag. (he starts out)	BUD	 (calling after him) Don't bother, Doc. It doesn't hurt a bit.					Apartment, The 
DOBISCH	 Hit by a swinging door? Or maybe a Yellow Cab?	KIRKEBY	 (as they move away from the elevators) That guy really must've belted him.	DOBISCH	 Yeah, he's punchy. Talking to himself.			Apartment, The 
SHELDRAKE	 And I've got good news for you, Baxter. All your troubles are over.	BUD	 (reacting to the echo) Sir?	SHELDRAKE	 I know how worried you were about Miss Kubelik -- well, stop worrying -- I'm going to take her off your hands.	BUD	 (stunned) You're going to take her off my hands?	Apartment, The 
SHELDRAKE	 I know how worried you were about Miss Kubelik -- well, stop worrying -- I'm going to take her off your hands.	BUD	 (stunned) You're going to take her off my hands?	SHELDRAKE	 That's right. (indicating suitcases) I've moved out of my house -- I'm going to be staying in town, at the Athletic Club.	BUD	 You left your wife?	Apartment, The 
BUD	 (stunned) You're going to take her off my hands?	SHELDRAKE	 That's right. (indicating suitcases) I've moved out of my house -- I'm going to be staying in town, at the Athletic Club.	BUD	 You left your wife?	SHELDRAKE	 Well, if you must know -- I fired my secretary, my secretary got to my wife, and my wife fired me. Ain't that a kick in the head?	Apartment, The 
SHELDRAKE	 Now what was your news, Baxter?	BUD	 (recovering with difficulty) It's about Miss Kubelik -- she's all right again -- so she went back home.	SHELDRAKE	 Swell. And don't think I've forgotten what you did for me. (opens door to adjoining office) This way, Baxter.			Apartment, The 
BUD	 (recovering with difficulty) It's about Miss Kubelik -- she's all right again -- so she went back home.	SHELDRAKE	 Swell. And don't think I've forgotten what you did for me. (opens door to adjoining office) This way, Baxter.					Apartment, The 
BUD	 Mine?	SHELDRAKE	 My assistant, Roy Thompson, has been shifted to the Denver office, and you're taking his place. (no reaction from Bud) What's the matter, Baxter? You don't seem very excited.	BUD	 Well, it's just that so many things have been happening so fast -- I'm very pleased -- especially for Miss Kubelik. Now that I've gotten to know her better, I think she's the kind of girl that definitely ought to be married to somebody --	SHELDRAKE	 Oh, sure, sure. But first the property settlement has to be worked out -- then it takes six weeks in Reno -- meanwhile, I'm going to enjoy being a bachelor for a while. (starts back toward his own office) Oh, by the way, you can now have lunch in the executive dining room --	Apartment, The 
BUD	 Well, it's just that so many things have been happening so fast -- I'm very pleased -- especially for Miss Kubelik. Now that I've gotten to know her better, I think she's the kind of girl that definitely ought to be married to somebody --	SHELDRAKE	 Oh, sure, sure. But first the property settlement has to be worked out -- then it takes six weeks in Reno -- meanwhile, I'm going to enjoy being a bachelor for a while. (starts back toward his own office) Oh, by the way, you can now have lunch in the executive dining room --	BUD	 Yes, sir.	SHELDRAKE	 That's just one of the privileges that goes with this job. You also get a nice little expense account, the use of the executive washroom -- (breaks off, peers at Bud's face) Say, what happened to you, Baxter?	Apartment, The 
BUD	 Yes, sir.	SHELDRAKE	 That's just one of the privileges that goes with this job. You also get a nice little expense account, the use of the executive washroom -- (breaks off, peers at Bud's face) Say, what happened to you, Baxter?	BUD	 I got kicked in the head, too.	SHELDRAKE	 Oh?	Apartment, The 
BUD	 Nothing's changed. You know, we never finished that gin game --	FRAN	 I know. (a beat) I suppose you heard about Mr. Sheldrake --?	BUD	 You mean, leaving his wife? Yeah. I'm very happy for you.	FRAN	 I never thought he'd do it.	Apartment, The 
FRAN	 I guess so.	BUD	 For that matter, you were wrong about me, too. What you said about those who take and those who get took? Well, Mr. Sheldrake wasn't using me -- I was using him. See? (indicating his name on directory) Last month I was at desk 861 on the nineteenth floor -- now I'm on the twenty-seventh floor, paneled office, three windows -- so it all worked out fine -- we're both getting what we want.	FRAN	 Yes. (looks at her watch) You walking to the subway?	BUD	 No, thank you. (fumbling) I -- well, to tell you the truth -- (glancing around lobby) -- I have this heavy date for tonight --	Apartment, The 
BUD	 For that matter, you were wrong about me, too. What you said about those who take and those who get took? Well, Mr. Sheldrake wasn't using me -- I was using him. See? (indicating his name on directory) Last month I was at desk 861 on the nineteenth floor -- now I'm on the twenty-seventh floor, paneled office, three windows -- so it all worked out fine -- we're both getting what we want.	FRAN	 Yes. (looks at her watch) You walking to the subway?	BUD	 No, thank you. (fumbling) I -- well, to tell you the truth -- (glancing around lobby) -- I have this heavy date for tonight --	FRAN	 Oh.	Apartment, The 
FRAN	 Yes. (looks at her watch) You walking to the subway?	BUD	 No, thank you. (fumbling) I -- well, to tell you the truth -- (glancing around lobby) -- I have this heavy date for tonight --	FRAN	 Oh.	BUD	 Aren't you meeting Mr. Sheldrake?	Apartment, The 
BOOTBLACK	 Much obliged.	BUD	 (putting charts on desk) Here's the breakdown of figures on personnel turnover. Thirty-seven percent of our female employees leave to get married, twenty-two percent quit because --	SHELDRAKE	 (breaking in) You're working too hard, Baxter. It's New Year's Eve -- relax.	BUD	 Yes, sir.	Apartment, The 
BUD	 (putting charts on desk) Here's the breakdown of figures on personnel turnover. Thirty-seven percent of our female employees leave to get married, twenty-two percent quit because --	SHELDRAKE	 (breaking in) You're working too hard, Baxter. It's New Year's Eve -- relax.	BUD	 Yes, sir.	SHELDRAKE	 I suppose you'll be on the town tonight -- celebrating?	Apartment, The 
SHELDRAKE	 How's that again?	BUD	 (flatly) No key!	SHELDRAKE	 Baxter, I picked you for my team because I thought you were a bright young man. You realize what you're doing? Not to me -- but to yourself. Normally it takes years to work your way up to the twenty-seventh floor -- but it takes only thirty seconds to be out on the street again. You dig?	BUD	 (nodding slowly) I dig.	Apartment, The 
SHELDRAKE	 Baxter, I picked you for my team because I thought you were a bright young man. You realize what you're doing? Not to me -- but to yourself. Normally it takes years to work your way up to the twenty-seventh floor -- but it takes only thirty seconds to be out on the street again. You dig?	BUD	 (nodding slowly) I dig.	SHELDRAKE	 So what's it going to be?	SHELDRAKE	 Now you're being bright?	Apartment, The 
BUD	 No I didn't.	SHELDRAKE	 (holding it out) But this is the key to the executive washroom.	BUD	 That's right, Mr. Sheldrake. I won't be needing it -- because I'm all washed up around here.	SHELDRAKE	 What's gotten into you, Baxter?	Apartment, The 
BUD	 Sure, Doc.	DR. DREYFUSS	 (stepping inside) How come you're alone on New Year's Eve?	BUD	 Well, I have things to do --	DR. DREYFUSS	 (noticing cartons) What's this -- you packing?	Apartment, The 
BUD	 Well, I have things to do --	DR. DREYFUSS	 (noticing cartons) What's this -- you packing?	BUD	 Yeah -- I'm giving up the apartment.	DR. DREYFUSS	 Where are you moving to?	Apartment, The 
BUD	 No, thanks -- I don't feel like it. Look, Doc -- in case I don't see you again -- how much do I owe you for taking care of that girl?	DR. DREYFUSS	 Forget it -- I didn't do it as a doctor -- I did it as a neighbor. (stopping in doorway) By the way, whatever happened to her?	BUD	 (airily) You know me with girls. Easy come, easy go. Goodbye, Doc.	DR. DREYFUSS	 Happy New Year.	Apartment, The 
DR. DREYFUSS	 Forget it -- I didn't do it as a doctor -- I did it as a neighbor. (stopping in doorway) By the way, whatever happened to her?	BUD	 (airily) You know me with girls. Easy come, easy go. Goodbye, Doc.	DR. DREYFUSS	 Happy New Year.			Apartment, The 
SHELDRAKE	 I know it's a drag -- but you can't find a hotel room in town -- not on New Year's Eve.	FRAN	 (a long look at Sheldrake) Ring out the old year, ring in the new. Ring-a-ding-ding.	SHELDRAKE	 I didn't plan it this way, Fran -- actually, it's all Baxter's fault.	FRAN	 Baxter?	Apartment, The 
SHELDRAKE	 Just walked out on me -- quit -- threw that big fat job right in my face.	FRAN	 (a faint smile) The nerve.	SHELDRAKE	 That little punk -- after all I did for him! He said I couldn't bring anybody to his apartment -- especially not Miss Kubelik. What's he got against you, anyway?	FRAN	 (a faraway look in her eye) I don't know. I guess that's the way it crumbles -- cookie-wise.	Apartment, The 
SHELDRAKE	 That little punk -- after all I did for him! He said I couldn't bring anybody to his apartment -- especially not Miss Kubelik. What's he got against you, anyway?	FRAN	 (a faraway look in her eye) I don't know. I guess that's the way it crumbles -- cookie-wise.	SHELDRAKE	 What are you talking about?	FRAN	 I'd spell it out for you -- only I can't spell.	Apartment, The 
FRAN	 Mind if I come in?	BUD	 (still stunned) Of course not.					Apartment, The 
BUD	 Let me get another glass.	FRAN	 (looking around) Where are you going?	BUD	 Who knows? Another neighborhood -- another town -- another job -- I'm on my own.	FRAN	 That's funny -- so am I. (Bud, pouring champagne, looks up at her) What did you do with the cards?	Apartment, The 
BUD	 Who knows? Another neighborhood -- another town -- another job -- I'm on my own.	FRAN	 That's funny -- so am I. (Bud, pouring champagne, looks up at her) What did you do with the cards?	BUD	 (indicating carton) In there.	BUD	 What about Mr. Sheldrake?	Apartment, The 
FRAN	 That's funny -- so am I. (Bud, pouring champagne, looks up at her) What did you do with the cards?	BUD	 (indicating carton) In there.	BUD	 What about Mr. Sheldrake?	FRAN	 I'm going to send him a fruit cake every Christmas.	Apartment, The 
BUD	 I love you, Miss Kubelik.	FRAN	 (cutting a card) Seven -- (looking at Bud's card) -- queen.	BUD	 Did you hear what I said, Miss Kubelik? I absolutely adore you.	FRAN	 (smiling) Shut up and deal!	Apartment, The 
BUD	 Did you hear what I said, Miss Kubelik? I absolutely adore you.	FRAN	 (smiling) Shut up and deal!	THE END				Apartment, The 
